ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp
76,79,76,55,98,10.18367947,56.1498479,8/1/2014 0:05
80,81,73,54,97,10.18367947,56.1498479,8/1/2014 0:10
80,77,70,56,100,10.18367947,56.1498479,8/1/2014 0:15
85,73,70,59,95,10.18367947,56.1498479,8/1/2014 0:20
83,77,68,64,94,10.18367947,56.1498479,8/1/2014 0:25
82,76,64,66,99,10.18367947,56.1498479,8/1/2014 0:30
86,72,64,61,96,10.18367947,56.1498479,8/1/2014 0:35
89,76,66,58,96,10.18367947,56.1498479,8/1/2014 0:40
86,75,62,55,91,10.18367947,56.1498479,8/1/2014 0:45
85,76,67,59,86,10.18367947,56.1498479,8/1/2014 0:50
90,71,63,56,87,10.18367947,56.1498479,8/1/2014 0:55
86,67,64,61,83,10.18367947,56.1498479,8/1/2014 1:00
88,69,62,58,79,10.18367947,56.1498479,8/1/2014 1:05
87,68,59,59,74,10.18367947,56.1498479,8/1/2014 1:10
91,71,63,63,69,10.18367947,56.1498479,8/1/2014 1:15
91,76,66,66,74,10.18367947,56.1498479,8/1/2014 1:20
94,73,70,69,79,10.18367947,56.1498479,8/1/2014 1:25
90,68,72,66,75,10.18367947,56.1498479,8/1/2014 1:30
86,66,71,70,73,10.18367947,56.1498479,8/1/2014 1:35
82,65,72,72,70,10.18367947,56.1498479,8/1/2014 1:40
82,60,74,74,65,10.18367947,56.1498479,8/1/2014 1:45
84,58,79,75,63,10.18367947,56.1498479,8/1/2014 1:50
88,58,80,72,62,10.18367947,56.1498479,8/1/2014 1:55
90,62,76,77,67,10.18367947,56.1498479,8/1/2014 2:00
92,58,81,72,69,10.18367947,56.1498479,8/1/2014 2:05
97,57,81,71,64,10.18367947,56.1498479,8/1/2014 2:10
92,59,82,73,67,10.18367947,56.1498479,8/1/2014 2:15
95,63,81,72,62,10.18367947,56.1498479,8/1/2014 2:20
94,66,83,67,61,10.18367947,56.1498479,8/1/2014 2:25
96,71,83,63,57,10.18367947,56.1498479,8/1/2014 2:30
96,67,80,58,61,10.18367947,56.1498479,8/1/2014 2:35
97,67,82,58,56,10.18367947,56.1498479,8/1/2014 2:40
97,71,81,62,59,10.18367947,56.1498479,8/1/2014 2:45
101,76,86,58,60,10.18367947,56.1498479,8/1/2014 2:50
101,72,83,58,63,10.18367947,56.1498479,8/1/2014 2:55
104,69,78,53,66,10.18367947,56.1498479,8/1/2014 3:00
108,72,76,55,64,10.18367947,56.1498479,8/1/2014 3:05
113,77,81,54,69,10.18367947,56.1498479,8/1/2014 3:10
109,76,77,58,70,10.18367947,56.1498479,8/1/2014 3:15
105,72,81,61,75,10.18367947,56.1498479,8/1/2014 3:20
107,69,77,56,75,10.18367947,56.1498479,8/1/2014 3:25
112,66,77,57,71,10.18367947,56.1498479,8/1/2014 3:30
109,65,82,52,73,10.18367947,56.1498479,8/1/2014 3:35
106,60,85,53,74,10.18367947,56.1498479,8/1/2014 3:40
103,64,80,56,74,10.18367947,56.1498479,8/1/2014 3:45
106,63,79,59,70,10.18367947,56.1498479,8/1/2014 3:50
103,68,81,64,73,10.18367947,56.1498479,8/1/2014 3:55
107,66,79,62,75,10.18367947,56.1498479,8/1/2014 4:00
102,66,79,57,74,10.18367947,56.1498479,8/1/2014 4:05
99,69,84,56,75,10.18367947,56.1498479,8/1/2014 4:10
96,66,86,60,70,10.18367947,56.1498479,8/1/2014 4:15
94,71,85,60,66,10.18367947,56.1498479,8/1/2014 4:20
89,75,89,62,69,10.18367947,56.1498479,8/1/2014 4:25
88,75,85,57,68,10.18367947,56.1498479,8/1/2014 4:30
89,70,84,53,64,10.18367947,56.1498479,8/1/2014 4:35
89,72,86,58,60,10.18367947,56.1498479,8/1/2014 4:40
86,67,83,54,61,10.18367947,56.1498479,8/1/2014 4:45
88,62,85,56,64,10.18367947,56.1498479,8/1/2014 4:50
85,66,90,57,69,10.18367947,56.1498479,8/1/2014 4:55
88,69,95,62,70,10.18367947,56.1498479,8/1/2014 5:00
90,65,90,59,72,10.18367947,56.1498479,8/1/2014 5:05
91,69,90,64,69,10.18367947,56.1498479,8/1/2014 5:10
93,74,86,67,73,10.18367947,56.1498479,8/1/2014 5:15
94,78,91,70,75,10.18367947,56.1498479,8/1/2014 5:20
97,80,86,67,70,10.18367947,56.1498479,8/1/2014 5:25
102,85,91,62,69,10.18367947,56.1498479,8/1/2014 5:30
106,88,88,57,73,10.18367947,56.1498479,8/1/2014 5:35
109,88,89,52,71,10.18367947,56.1498479,8/1/2014 5:40
110,84,87,50,69,10.18367947,56.1498479,8/1/2014 5:45
114,87,83,47,70,10.18367947,56.1498479,8/1/2014 5:50
115,88,80,48,74,10.18367947,56.1498479,8/1/2014 5:55
110,86,81,51,75,10.18367947,56.1498479,8/1/2014 6:00
110,86,76,46,71,10.18367947,56.1498479,8/1/2014 6:05
112,86,74,47,72,10.18367947,56.1498479,8/1/2014 6:10
116,84,69,52,77,10.18367947,56.1498479,8/1/2014 6:15
117,87,68,49,74,10.18367947,56.1498479,8/1/2014 6:20
122,82,68,52,75,10.18367947,56.1498479,8/1/2014 6:25
120,86,68,53,78,10.18367947,56.1498479,8/1/2014 6:30
124,89,71,51,78,10.18367947,56.1498479,8/1/2014 6:35
120,92,68,47,77,10.18367947,56.1498479,8/1/2014 6:40
123,94,69,45,79,10.18367947,56.1498479,8/1/2014 6:45
121,96,69,45,78,10.18367947,56.1498479,8/1/2014 6:50
126,100,65,47,76,10.18367947,56.1498479,8/1/2014 6:55
127,100,61,46,71,10.18367947,56.1498479,8/1/2014 7:00
128,102,58,49,67,10.18367947,56.1498479,8/1/2014 7:05
126,99,54,47,70,10.18367947,56.1498479,8/1/2014 7:10
127,98,52,49,69,10.18367947,56.1498479,8/1/2014 7:15
130,100,51,47,65,10.18367947,56.1498479,8/1/2014 7:20
130,98,49,50,70,10.18367947,56.1498479,8/1/2014 7:25
133,100,47,48,73,10.18367947,56.1498479,8/1/2014 7:30
135,102,47,43,73,10.18367947,56.1498479,8/1/2014 7:35
138,98,44,45,73,10.18367947,56.1498479,8/1/2014 7:40
133,103,45,46,75,10.18367947,56.1498479,8/1/2014 7:45
137,98,43,50,75,10.18367947,56.1498479,8/1/2014 7:50
141,103,42,46,78,10.18367947,56.1498479,8/1/2014 7:55
139,107,44,51,80,10.18367947,56.1498479,8/1/2014 8:00
135,112,47,47,75,10.18367947,56.1498479,8/1/2014 8:05
131,112,42,45,76,10.18367947,56.1498479,8/1/2014 8:10
133,115,42,45,81,10.18367947,56.1498479,8/1/2014 8:15
138,113,39,49,86,10.18367947,56.1498479,8/1/2014 8:20
139,116,35,49,82,10.18367947,56.1498479,8/1/2014 8:25
141,115,33,44,84,10.18367947,56.1498479,8/1/2014 8:30
138,111,32,49,81,10.18367947,56.1498479,8/1/2014 8:35
137,107,33,44,82,10.18367947,56.1498479,8/1/2014 8:40
133,106,29,39,83,10.18367947,56.1498479,8/1/2014 8:45
133,101,29,34,78,10.18367947,56.1498479,8/1/2014 8:50
128,99,34,38,81,10.18367947,56.1498479,8/1/2014 8:55
129,94,29,35,86,10.18367947,56.1498479,8/1/2014 9:00
131,99,27,34,91,10.18367947,56.1498479,8/1/2014 9:05
128,97,27,37,91,10.18367947,56.1498479,8/1/2014 9:10
128,93,25,37,94,10.18367947,56.1498479,8/1/2014 9:15
127,90,25,39,96,10.18367947,56.1498479,8/1/2014 9:20
123,86,25,34,92,10.18367947,56.1498479,8/1/2014 9:25
127,89,29,32,91,10.18367947,56.1498479,8/1/2014 9:30
131,94,33,32,90,10.18367947,56.1498479,8/1/2014 9:35
128,92,38,31,85,10.18367947,56.1498479,8/1/2014 9:40
128,87,35,30,82,10.18367947,56.1498479,8/1/2014 9:45
126,91,39,34,77,10.18367947,56.1498479,8/1/2014 9:50
131,94,35,38,79,10.18367947,56.1498479,8/1/2014 9:55
129,97,34,35,78,10.18367947,56.1498479,8/1/2014 10:00
128,98,32,31,75,10.18367947,56.1498479,8/1/2014 10:05
127,103,30,35,73,10.18367947,56.1498479,8/1/2014 10:10
132,105,31,34,69,10.18367947,56.1498479,8/1/2014 10:15
131,108,31,39,66,10.18367947,56.1498479,8/1/2014 10:20
132,105,32,38,61,10.18367947,56.1498479,8/1/2014 10:25
135,110,28,41,57,10.18367947,56.1498479,8/1/2014 10:30
134,113,33,41,57,10.18367947,56.1498479,8/1/2014 10:35
131,108,28,44,59,10.18367947,56.1498479,8/1/2014 10:40
129,107,29,39,61,10.18367947,56.1498479,8/1/2014 10:45
126,106,24,39,66,10.18367947,56.1498479,8/1/2014 10:50
128,110,23,34,65,10.18367947,56.1498479,8/1/2014 10:55
131,113,19,31,64,10.18367947,56.1498479,8/1/2014 11:00
134,109,28,28,60,10.18367947,56.1498479,8/1/2014 11:05
129,104,24,27,60,10.18367947,56.1498479,8/1/2014 11:10
124,101,23,32,58,10.18367947,56.1498479,8/1/2014 11:15
125,104,28,34,53,10.18367947,56.1498479,8/1/2014 11:20
121,99,31,31,57,10.18367947,56.1498479,8/1/2014 11:25
122,101,31,32,52,10.18367947,56.1498479,8/1/2014 11:30
